index,raw_X,local_X,Z,C_unwrapped,pass_id
39688,222.6507,25.6507,-2.5523,-141324.2359,2
39768,222.6012,25.601200000000006,-2.5536,-141681.5022,2
39848,222.5515,25.551500000000004,-2.5548,-142039.4614,2
39928,222.5018,25.501800000000003,-2.5561,-142398.1175,2
40008,222.4519,25.451899999999995,-2.5573,-142757.4746,2
40088,222.402,25.401999999999987,-2.5585,-143117.5368,2
40168,222.352,25.352000000000004,-2.5597,-143478.3083,2
40248,222.3018,25.301799999999986,-2.5609,-143839.7934,2
40328,222.2516,25.251599999999996,-2.5621,-144201.9962,2
40408,222.2012,25.2012,-2.5633,-144564.9211,2
40488,222.1508,25.150800000000004,-2.5645,-144928.5724,2
40568,222.1003,25.100300000000004,-2.5656,-145292.9545,2
40648,222.0496,25.049599999999998,-2.5668,-145658.0717,2
40728,221.9989,24.998899999999992,-2.5679,-146023.9286,2
40808,221.948,24.948000000000008,-2.5691,-146390.5297,2
40888,221.8971,24.897099999999995,-2.5702,-146757.8795,2
40968,221.846,24.846000000000004,-2.5713,-147125.9827,2
41048,221.7948,24.79480000000001,-2.5725,-147494.8439,2
41128,221.7436,24.743599999999986,-2.5736,-147864.4678,2
41208,221.6922,24.692200000000014,-2.5747,-148234.8591,2
41288,221.6407,24.64070000000001,-2.5758,-148606.0227,2
41368,221.5891,24.589100000000002,-2.5769,-148977.9634,2
41448,221.5374,24.53739999999999,-2.578,-149350.6861,2
41528,221.4856,24.485600000000005,-2.579,-149724.1957,2
41608,221.4337,24.433699999999988,-2.5801,-150098.4973,2
41688,221.3817,24.381699999999995,-2.5812,-150473.5959,2
41768,221.3295,24.329499999999996,-2.5822,-150849.4967,2
41848,221.2773,24.277299999999997,-2.5833,-151226.2048,2
41928,221.2249,24.22489999999999,-2.5843,-151603.7253,2
42008,221.1724,24.17240000000001,-2.5853,-151982.0637,2
42088,221.1198,24.119799999999998,-2.5863,-152361.2253,2
42168,221.0671,24.06710000000001,-2.5874,-152741.2154,2
42248,221.0143,24.01429999999999,-2.5884,-153122.0394,2
42328,220.9607,23.960700000000003,-2.5894,-153508.4792,2
42408,220.9076,23.907600000000002,-2.5904,-153890.9984,2
42488,220.8545,23.8545,-2.5914,-154274.3685,2
42568,220.8012,23.801199999999994,-2.5924,-154658.5951,2
42648,220.7477,23.74770000000001,-2.5933,-155043.6839,2
42728,220.6942,23.694199999999995,-2.5943,-155429.6409,2
42808,220.6406,23.640600000000006,-2.5953,-155816.4718,2
42888,220.5868,23.58680000000001,-2.5962,-156204.1827,2
42968,220.5329,23.532900000000012,-2.5972,-156592.7796,2
43048,220.4788,23.478800000000007,-2.5981,-156982.2686,2
43128,220.4247,23.4247,-2.5991,-157372.6558,2
43208,220.3704,23.37039999999999,-2.6,-157763.9476,2
43288,220.316,23.316000000000003,-2.6009,-158156.1502,2
43368,220.2615,23.261500000000012,-2.6018,-158549.27,2
43448,220.2068,23.206799999999987,-2.6027,-158943.3135,2
43528,220.152,23.151999999999987,-2.6037,-159338.2872,2
43608,220.0971,23.09710000000001,-2.6046,-159734.1977,2
43688,220.0421,23.042100000000005,-2.6054,-160131.0518,2
43768,219.9869,22.98689999999999,-2.6063,-160528.8562,2
43848,219.9316,22.931600000000003,-2.6072,-160927.6178,2
43928,219.8761,22.876100000000008,-2.6081,-161327.3435,2
44008,219.8206,22.820600000000013,-2.609,-161728.0404,2
44088,219.7649,22.76490000000001,-2.6098,-162129.7155,2
44168,219.709,22.709000000000003,-2.6107,-162532.3761,2
44248,219.653,22.65299999999999,-2.6115,-162936.0294,2
44328,219.5969,22.596900000000005,-2.6124,-163340.6829,2
44408,219.5406,22.540600000000012,-2.6132,-163746.344,2
44488,219.4842,22.484199999999987,-2.6141,-164153.0202,2
44568,219.4277,22.427699999999987,-2.6149,-164560.7192,2
44648,219.371,22.37100000000001,-2.6157,-164969.4489,2
44728,219.3141,22.314099999999996,-2.6165,-165379.217,2
44808,219.2571,22.25710000000001,-2.6173,-165790.0314,2
44888,219.2,22.19999999999999,-2.6181,-166201.9003,2
44968,219.1427,22.14269999999999,-2.619,-166614.8318,2
45048,219.0853,22.08529999999999,-2.6197,-167028.8342,2
45128,219.0277,22.02770000000001,-2.6205,-167443.9159,2
45208,218.97,21.97,-2.6213,-167860.0853,2
45288,218.9121,21.91210000000001,-2.6221,-168277.351,2
45368,218.8541,21.85409999999999,-2.6229,-168695.7217,2
45448,218.7959,21.79589999999999,-2.6236,-169115.2064,2
45528,218.7376,21.737599999999986,-2.6244,-169535.8138,2
45608,218.6791,21.679100000000005,-2.6252,-169957.5531,2
45688,218.6204,21.62039999999999,-2.6259,-170380.4335,2
45768,218.5616,21.5616,-2.6267,-170804.4643,2
45848,218.5026,21.5026,-2.6274,-171229.6549,2
45928,218.4435,21.4435,-2.6282,-171656.0148,2
46008,218.3842,21.384199999999993,-2.6289,-172083.5539,2
46088,218.3247,21.324700000000007,-2.6296,-172512.2818,2
46168,218.2651,21.26509999999999,-2.6303,-172942.2087,2
46248,218.2053,21.205299999999994,-2.6311,-173373.3446,2
46328,218.1453,21.14529999999999,-2.6318,-173805.6998,2
46408,218.0852,21.085199999999986,-2.6325,-174239.2846,2
46488,218.0248,21.0248,-2.6332,-174674.1097,2
46568,217.9644,20.964400000000012,-2.6339,-175110.1856,2
46648,217.9037,20.903699999999986,-2.6346,-175547.5234,2
46728,217.8429,20.842899999999986,-2.6353,-175986.134,2
46808,217.7818,20.781800000000004,-2.6359,-176426.0285,2
46888,217.7206,20.72059999999999,-2.6366,-176867.2184,2
46968,217.6593,20.6593,-2.6373,-177309.7151,2
47048,217.5977,20.597700000000003,-2.638,-177753.5304,2
47128,217.536,20.536,-2.6386,-178198.676,2
47208,217.474,20.47399999999999,-2.6393,-178645.164,2
47288,217.4119,20.411900000000003,-2.64,-179093.0067,2
47368,217.3496,20.34960000000001,-2.6406,-179542.2163,2
47448,217.2871,20.28710000000001,-2.6413,-179992.8056,2
